ext_gene,HC_29_1,HC_29_2,HC_29_3,HC_TrpA1_21_1,HC_TrpA1_21_2,HC_TrpA1_21_3,HC_TrpA1_29_1,HC_TrpA1_29_2,HC_TrpA1_29_3,MechSD12hr_1,MechSD12hr_2,MechSD12hr_3,MechSD3hr_1,MechSD3hr_2,MechSD3hr_3,MechSD6hr_1,MechSD6hr_2,MechSD6hr_3,R21H11_29_1,R21H11_29_2,R21H11_29_3,R21H11_TrpA1_21_1,R21H11_TrpA1_21_2,R21H11_TrpA1_21_3,R21H11_TrpA1_29_1,R21H11_TrpA1_29_2,R21H11_TrpA1_29_3,R60F09_29_1,R60F09_29_2,R60F09_29_3,R60F09_TrpA1_21_1,R60F09_TrpA1_21_2,R60F09_TrpA1_21_3,R60F09_TrpA1_29_1,R60F09_TrpA1_29_2,R60F09_TrpA1_29_3,R65H02_29_1,R65H02_29_2,R65H02_29_3,R65H02_TrpA1_21_1,R65H02_TrpA1_21_2,R65H02_TrpA1_21_3,R65H02_TrpA1_29_1,R65H02_TrpA1_29_2,R65H02_TrpA1_29_3,R85C10_29_1,R85C10_29_2,R85C10_29_3,R85C10_TrpA1_21_1,R85C10_TrpA1_21_2,R85C10_TrpA1_21_3,R85C10_TrpA1_29_1,R85C10_TrpA1_29_2,R85C10_TrpA1_29_3,ZT_0_1,ZT_0_2,ZT_0_3,ZT_12_1,ZT_12_2,ZT_12_3,ZT_16_1,ZT_16_2,ZT_16_3,ZT_20_1,ZT_20_2,ZT_20_3,ZT_4_1,ZT_4_2,ZT_4_3,ZT_8_1,ZT_8_2,ZT_8_3
Cirl,221.66948,246.98435,241.269,182.3725436,204.811673,121.37125,194.89939,256.35217,241.630525,212.44345,167.5053612,215.24358,191.19769,182.03256,181.89887,136.6359518,134.6891194,124.4773417,264.71737,266.01169,266.22578,206.9238604,197.28248,133.128399,142.41897,60.700128,126.68803,225.94934,195.92839,232.1954906,79.49590222,102.3971704,169.12506,239.60234,258.63842,225.3806,240.42069,220.2511,240.71312,199.51056,216.43412,151.531829,146.19291,117.89972,113.570412,198.60535,257.59541,225.27067,253.39545,243.88373,279.138647,171.88434,219.71315,204.20194,272.68881,264.88018,279.64715,274.28722,255.59911,227.75061,273.46259,224.97385,250.57334,182.6832676,209.89387,150.391431,246.26142,257.38968,252.71702,274.14645,242.18192,251.90021
Cisd2,287.475,275.319,331.762,350.78,366.504,411.65,313.939,293.302,302.796,373.237,375.699,329.911,390.835,365.271,384.069,349.661,349.579,335.21,320.873,295.653,280.705,313.897,343.331,352.047,360.603,446.74,351.837,308.79,310.237,301.152,376.969,367.122,342.886,323.05,297.031,317.667,300.146,311.01,263.769,355.552,309.729,395.133,297.335,352.937,355.519,330.292,312.508,332.273,319.933,344.803,296.165,355.922,368.983,378.32,294.614,338.135,287.68,331.915,323.742,337.746,340.363,358.569,333.806,393.772,389.958,443.112,369.995,310.22,324.897,308.439,314.535,349.287
ck,3.684138574,3.47308,4.2199,2.084818817,2.342475,1.70733,2.83239884,3.359397676,3.073418056,2.57363,2.156916029,3.552410015,2.451495,3.742040503,3.496474,1.90414,1.734569536,1.764056,3.71064,4.23797,4.994219,3.146800002,1.752311735,2.20154,2.649542409,1.264173,2.34437,4.76908455,4.14364001,5.450009486,0.984580719,1.865588001,2.465357226,3.41287,3.944434849,4.12736,4.344981639,3.951023,3.53835,2.237942234,2.506005,2.175321294,2.893446,2.766309796,2.10874363,4.612800463,4.75274,4.658887516,4.15797218,3.3767211,4.005983,2.864690046,3.313,4.339862509,4.040357947,4.489220225,4.740459043,4.306018145,4.826061386,4.920430004,3.943681083,4.31724,5.6771346,2.927019862,3.748629166,2.804505109,2.882708,5.384967501,4.212696128,4.535027,3.940512834,4.93741219
Cka,162.50921,164.081199,152.88473,112.86962,127.961078,85.055903,135.67357,151.9795035,150.885947,109.749697,100.41238,122.81111,101.82172,97.95421,94.288679,84.046345,86.697946,83.828133,172.30435,176.653897,157.80689,118.41527,116.24868,85.441689,102.767719,54.490125,101.640115,153.95674,138.3061,149.76689,58.17485,79.911819,109.51107,152.91386,134.89855,137.70822,173.77932,167.46409,168.81437,115.58504,130.82722,100.773778,100.89087,90.67259,88.09618,145.186039,159.217005,166.50092,143.690126,138.158325,150.849381,117.6336,138.989715,137.95459,135.842531,124.32657,134.33379,138.59304,139.83481,128.629153,133.452104,130.430468,130.32754,96.472419,101.84064,82.472882,129.263673,131.59987,130.545065,134.824777,123.061283,132.26088
ckd,0.253852,0,0,0.787258,0.672885,0.200017,0.606961,0.212827,0.410744,0.241854,0,0.416202,0.19569,0.185473,0,0.234391,0,0.368923,0,0,0,0.553666,1.099354,0.534438,0,0.746394,0.201245,0,0,0.338111,0.389455,0.325361,0.361607,0,0,0.57865,0.213953,0.873442,0,0,0,0.20267,0.424488,0.512437,1.180382,0,0,0.686658,0.582709,0.313758,0.821377,0,0,0.24908,0.333557,0.575123,0.180402,0,0.34572,0.676237,0.219013,1.101111,0,0.400042,0.193071,0,0.155801,0,0.816966,0,0.173951,0.174751
CkIalpha,426.10121,451.30294,445.942249,377.3052474,422.1426,296.646874,421.83599,435.11747,444.09397,382.50098,312.2711027,408.9605,363.24566,351.63749,343.11504,299.63733,286.314776,277.52607,473.56614,492.28201,459.31583,389.883763,352.32081,306.1985,307.13205,198.36593,340.542619,466.83578,437.2933,441.9962153,230.83286,260.6254301,365.7775,446.52478,434.66995,436.51934,450.595185,460.056524,458.7234,386.15022,431.9943,365.5201,305.412113,264.09817,268.77859,422.51106,493.0935117,443.1685057,506.38997,498.414622,488.6315001,409.22303,458.9877207,445.4760045,463.27194,471.217,463.7435,442.185119,428.3668,429.02201,452.15165,422.870675,443.14787,322.84356,367.89542,298.3864,439.57901,476.4689,448.00613,492.81834,462.95271,426.77671
CkIIalpha,211.8444,219.40387,191.92661,211.82489,216.6327,181.46817,176.95515,197.06189,190.1428801,177.80723,189.96279,178.50651,168.62021,156.02286,150.17191,208.44282,195.42288,201.42121,215.24108,240.118811,198.41544,204.73915,212.80604,181.99376,183.73203,140.13957,177.51816,199.57911,208.53091,192.29303,188.67667,190.1147085,233.70559,196.61302,190.41988,176.26943,192.12966,178.31004,187.93026,200.26634,217.84271,201.03053,182.21974,166.69562,153.22751,204.239352,229.65264,188.42605,255.81618,230.57082,236.53277,221.00121,244.87151,214.40467,211.30382,213.90276,191.87464,209.41806,188.61772,184.79018,191.44733,186.24231,186.90657,167.6759,188.58731,161.93398,183.05333,189.89966,190.08753,210.5519791,213.1816,170.68498
CkIIalpha-i1,11.7186,7.96416,9.95833,4.74293,6.06615,6.22629,8.20357,8.08117,13.618,9.41693,6.38496,6.97232,7.19445,7.96787,8.93276,9.26772,10.1914,7.19679,7.38103,8.4057,8.43544,5.5204,7.31271,4.93018,7.58666,5.48163,6.27426,7.93319,9.07942,7.60462,3.08386,4.03569,5.51619,9.12287,9.36031,8.92872,8.85595,8.98978,11.8652,4.59783,4.78805,4.81721,5.62452,4.87432,7.86511,11.2291,12.0946,12.4022,7.18857,6.90935,4.96287,9.03851,11.8492,10.4919,11.8357,8.12016,8.57361,7.47981,6.98486,7.19756,10.4503,7.53805,7.38851,7.11209,5.77291,5.91082,9.98674,9.3764,7.48591,6.71715,8.36796,8.0319
CkIIalpha-i3,84.8587,70.9213,82.75786,68.6423,70.5069,72.5268,72.88973,82.73803,82.37714,60.3487,52.91902,58.73315,44.761,58.11547,47.94693,55.290726,55.95589,60.55748,71.59501,77.955,68.52678,75.4046,74.46423,53.57138,64.94191,48.92412,56.54178,61.76199,56.05884,66.90817,43.34808,46.81718,57.50032,69.6672,65.14232,52.41747,75.61551,73.64489,75.96442,74.74806,60.98725,62.00567,62.66516,53.22381,52.07846,71.4211,83.69725,74.6302,74.0646,74.3085,73.5833,81.38796,95.4396,92.307,87.41024,78.74497,67.32021,79.4635,78.3604,64.6186,68.6675,73.60717,73.92066,45.9653,46.63469,43.75118,71.38945,67.76162,75.85799,92.31537,64.52588,69.65339
CkIIbeta,225.519497,259.3393,269.72802,212.051493,240.201926,157.653901,247.15139,246.849136,260.48054,213.909918,190.399062,216.357474,198.385597,198.881406,180.24304,172.590841,167.114478,177.94239,255.184651,268.00857,271.573832,189.796139,177.536569,166.912974,159.056646,102.508089,173.41024,280.443458,256.8342361,269.61209,119.332872,141.215504,191.98419,255.610645,263.824483,244.314542,261.778293,266.548845,269.55236,181.24678,217.12591,174.029813,192.34772,160.648253,167.275327,229.748744,269.522273,230.90463,246.17391,241.9236323,258.61917,202.483098,250.00778,244.5176225,253.74262,269.96897,237.692263,272.71173,243.217454,233.78688,264.78698,220.3142,244.683397,198.77934,203.5987362,174.27343,231.021242,238.76488,241.61913,264.09534,242.78171,213.47552
CkIIbeta2,0,0,0,0,0,0,0,0,0,0.326405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286876,0,0.241558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ckn,109.0645,132.2561573,132.2339,98.849,110.8478,76.1368,134.8121,141.1388881,134.1482,114.9749001,92.60020116,102.4152,109.8066,95.586415,98.21960091,91.4858,85.0344,78.6904,150.8855,140.5596,138.4026,100.81376,102.651,86.3399,85.93869,60.29718,91.6468,134.1167,121.5793,121.6932094,60.941906,67.8996,89.939203,138.9594731,133.7053,129.741977,151.2016058,141.0076,126.18421,104.3456,105.901073,82.60064,92.71800002,79.8534,84.3398,119.84001,133.0982959,148.6445023,122.7861,118.638,120.3313,122.2756,127.5503,129.5964,124.7917,117.9628,120.0729,124.402,117.7036,105.4718285,122.70277,109.8812,128.4775,89.6295,102.3666,80.62140014,117.494,113.3035,115.3432,120.4086,111.4834,117.01485
Cks30A,3.36175,2.8382,4.22306,3.83074,2.46189,3.39291,3.43196,3.61026,3.27883,6.99819,1.94601,5.55768,2.60108,1.66555,3.34658,3.04029,3.28229,1.84054,2.85653,1.9674,2.93906,3.3149,3.10439,3.73289,3.22589,1.65071,2.18849,4.27394,1.7276,3.71134,4.95002,1.26031,1.98455,1.17659,4.16723,4.04288,5.44356,3.21974,3.56429,1.73349,2.77551,4.04471,2.82363,3.06804,2.35011,4.30746,3.99838,3.0399,2.90694,5.00878,3.885,3.14104,0.823732,4.22485,3.65197,3.06054,3.41995,3.69108,5.36733,1.84296,3.05939,4.15666,1.29532,1.96885,2.78461,2.18895,4.97439,1.54947,5.1943,4.23244,5.08137,1.68851
Cks85A,32.0058,36.25706,32.531164,43.79048,44.95046,41.55945,34.44344,38.37494,29.46587,32.09322,50.73823,46.1111,35.767648,46.84267,43.72687,52.48997,46.92589,73.81586,32.60664,29.97248,25.07817,40.47749,41.89505,61.66395,55.52877,52.44345,54.88811,30.96921,35.59298,36.51517,67.31644,66.69538,47.30006,56.38841,33.40361,38.40994,39.20752,34.25656,34.827,43.26039,52.93074,48.40529,40.1803,35.12023,42.91789,48.63184,26.46223,34.65099,35.10826,38.87952,35.46687,49.18453,49.77681,33.24272,33.22003,29.98285,34.36596,34.29528,43.41651,43.17893,44.76948,40.18195,25.86059,52.69998,60.675583,52.19497,39.84139,39.63397,45.59564,39.20665,33.545034,37.63041
cl,235.04505,176.567,163.806,212.91,192.484,281.055,174.072983,172.31951,168.515,233.901,249.602,234.47,248.447,251.539,255.572,243.221,283.791,253.537,169.832,159.02585,161.988,259.805,219.074,243.063,262.468,355.623,274.398,194.047,198.69094,165.26626,262.101,262.30061,226.674,191.90193,211.2963,182.634,160.203,200.001,165.44827,239.054,204.969,216.84926,210.735,235.743,226.64864,207.28432,214.212,221.276,212.492,194.936,171.36028,268.28552,247.58463,225.459,192.674,200.556,204.408,216.19873,208.484,240.466,233.24684,217.272,231.965,226.601,260.037,252.255,232.709,211.99255,204.133,210.305,255.766,225.566
Clamp,93.4564,102.618,104.9708,69.6397,85.6131,66.0786,86.8186,86.9645,92.0248,83.0082,74.4558,83.702,77.3088,79.6724,77.9758,75.7603,75.7154,73.3632,109.2664,103.074,110.0047,86.5358,92.0292,72.6082,83.3994,54.0935,84.4243,99.9687,87.3531,96.4762,52.0546,64.4152,78.4284,88.2217,92.6236,84.508,100.0356,93.8433,91.5241,74.8255,88.9318,64.9019,75.6716,68.7842,68.6083,100.009,113.3249,103.4952,103.3346,96.6886,92.1664,96.7488,108.8222,102.7151,89.4719,84.244,88.4953,79.8398,87.7412,79.3746,84.9756,86.1002,74.7133,72.0382,81.1994,70.7001,78.8663,77.9799,87.2823,90.5362,83.1192,83.328
Claspin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137175,0.0388914,0,0,0,0.043561,0.0509325,0,0,0.0717024,0.0912516,0,0,0,0,0.0848429,0,0,0,0,0.0896249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440227,0,0,0,0,0,0,0
Clbn,39.8316,36.37414,34.3489,23.2108,25.521,17.9622,33.0596,34.25377,32.7159,22.43259,17.5404,26.30098,25.9433,23.09532,21.8648,19.6425,20.216,16.1882,41.7837,41.5942,42.4684,27.954,26.4509,18.4823,26.94234,16.6027,25.6366,36.98527,36.8575,36.04014,17.3314,19.3241,27.0615,36.5237,41.8479,34.88694,40.7996,42.8244,40.4341,24.9945,27.7494,23.8357,26.0954,23.1315,22.25360006,38.6076,43.0101,40.0786,34.83,33.1456,33.647,39.2264,42.6922,40.14214,32.4587,34.2405,33.57424,26.9932,24.4779,26.6767,31.2528,26.3391,30.3829,23.0039,24.39197,19.2891,26.9131,29.19055537,29.11883,32.7512,28.7411,27.2275
Clc,228.28811,225.44948,216.05969,256.66484,280.82319,264.63684,268.254804,234.89044,245.9281,271.08342,258.20717,255.62006,269.92204,274.22084,260.00258,264.51756,289.38974,251.51704,210.64164,235.5679,217.84791,270.74689,271.516833,276.37954,285.90382,304.50219,262.13873,199.64766,220.992615,209.15884,227.62251,283.20492,237.96384,239.18305,271.63448,255.128083,216.83426,206.25348,210.90371,277.65404,236.45359,273.11227,253.692638,242.62809,244.19022,244.605929,218.79681,234.0103375,218.92117,223.08883,227.25209,306.08144,258.71321,231.04422,274.57283,246.44031,259.149811,249.92225,270.63812,271.83699,271.783627,274.49659,281.35617,280.4686,252.38498,270.33885,287.88289,256.81418,268.41572,267.50526,233.89933,272.67673
ClC-a,66.259645,61.47166,64.243822,46.60631,49.9817104,39.463494,39.476986,48.4778353,55.72166024,31.16855709,29.07686256,33.4913881,30.49772,30.700192,27.3227244,28.6658,28.517439,25.1443,54.1450067,52.4048,67.2313444,47.58848265,50.289976,34.226831,51.7146374,28.2056612,47.380455,59.5135283,65.40098,69.4767539,27.285176,46.1389107,57.0200259,44.566468,58.10079525,64.361035,43.18054,51.02777509,59.773173,30.6338087,47.375081,39.87664,56.768995,51.5331768,51.92522,74.9379571,72.12841,91.57891,63.554886,75.44829,88.2083716,66.50184,68.8164864,88.877951,40.314008,44.502252,48.62735976,62.3803251,54.8301554,54.2858835,53.6916845,45.4429995,60.624551,24.817719,30.5942509,28.454775,37.17804,52.70271603,45.06206,47.524054,42.04678,52.1080397
ClC-b,67.1633,68.6521,62.5639,35.3672,42.3036,33.1487,61.9766,64.0703,68.9915,48.0748,37.9416,44.211,43.9095,43.7324,41.9316,41.1041,42.4596,36.0454,61.795,65.5941,65.4786,45.4351,40.5165,35.1761,55.9745,30.5998,51.9026,64.2038,66.1998,69.318,25.1355,32.9513,40.9014,68.5981,60.1809,61.2999,67.2153,65.4026,71.6098,35.2348,45.4003,35.5232,52.442,41.6133,43.879,63.2926,58.1444,76.0763,41.1372,49.5858,52.0162,60.5312,73.7262,72.8198,53.3932,52.5391,56.0113,50.6978,53.0836,51.08,59.5637,52.0897,51.4435,39.9013,45.2875,39.2748,53.6869,49.6415,52.0441,56.2252,52.701,48.0241
ClC-c,99.9023,94.48128,90.6828,74.1929,81.4125,60.94995076,70.78425,90.2558,84.25506,73.8211,68.3906,76.6352,73.7820918,66.7442,67.3347,60.3769,59.74838,58.7369,100.0067,107.7164,110.44423,84.7587,81.1394,63.7408,70.34369,41.7533,67.40436,95.6192,88.4611,87.8243,50.22680544,66.1959,90.544,87.07813,101.4468,89.7597,91.0741,97.66944,86.2667,74.5585,90.46807,76.44,71.6619,68.0949,64.53,99.5793,119.7994,108.5047,102.8386,100.4699,105.6413,78.48551,89.40674,93.4324,94.3931,90.2517,93.9618,94.39595,91.6044,83.19057,84.99633,78.76537261,79.8253,64.65026567,71.0525,62.9773,89.2708,99.1005,94.7726,95.1593,89.8846,80.72338
Clect27,0.24615,0.621511,0,4.88261,0.144526,0.523837,0,0,0.179278,0,5.8283,0.220376,0,11.188,2.20007,0,0,2.89177,0,0.984433,1.42981,0,0.181202,0,1.306296,2.71248,1.06421,0.249409,1.29781,0.295994,2.146925,0.233148,0.947734,0,4.63683,0.70796,0,0,0,3.7154,0.186939,0.354348,1.742853,5.22732,3.60327,2.31857,0.267264,0,0,0.272399,0.281325,0,0,0.865655,0,3.17169,0.156812,0.537377,2.00855,2.68383,0,2.0225,1.81411,2.10424,6.35545,1.356029,0.541181,3.37767,0.50281,0,3.13388,2.2176
Clic,55.5043,57.1478,58.5373,53.9815,55.9784,37.82569,63.0581,62.445,63.5491,63.6665,49.3856,56.96777,58.6473,67.5644,55.06351,58.5887,55.8661,43.62385765,72.5251,65.3399,70.5565,61.5,58.4742,56.5065,62.1101,41.91772,56.69788,77.2015,64.5539,70.0333,40.55295655,52.3374,56.3062,67.8754,73.5877,66.7455,66.9158,58.5148,64.1537,52.31354,59.97604,57.8545,66.7231,60.8265,58.7682,67.6687,63.9741,69.0284,66.9459,58.6156,60.2375,66.6131,67.0047,71.2933,60.7039,61.2986,65.6133,63.7895,72.7696,69.9289,61.9757,65.2754,70.6163,52.0123,58.3087,52.5749,65.8276,69.5838,78.6009,70.6332,72.8016,79.5724
CLIP-190,109.29531,107.20547,124.4108492,86.05466,87.530289,61.20113082,94.180541,105.5443,110.60408,68.811606,64.65144,79.09378335,65.2111,81.74969711,82.60972256,56.96104,52.894556,59.93837001,115.30874,129.20703,138.17383,105.6763539,92.87981102,84.859161,95.177694,63.39686288,90.60483002,201.068084,135.6162002,174.87004,87.21987901,87.01436179,159.932686,138.8060205,130.120887,149.894666,119.3047533,109.81631,126.336647,88.72571,110.441414,97.037081,122.3290698,126.4076127,100.935187,115.653069,118.5155901,135.31905,100.235854,108.838757,111.17887,91.57481,98.204906,112.634428,88.20734827,92.42208768,98.26747,90.74097001,94.70119773,96.50549667,83.84892,82.254802,91.262207,64.76522125,75.36526675,65.29264872,80.60135799,101.8319604,95.37801866,91.55990064,89.76392503,95.568326
Clk,6.588417,8.28287,9.971925,4.907417013,3.04637,2.371565,4.765490037,7.345365,6.772773,4.488138,2.62098,4.1379504,1.71359,6.1177,4.265791,4.4752115,3.45897,2.20043,6.836103,7.2840253,11.45445,4.760956,2.551244,2.03148,4.167685,3.27945,4.913992,8.35258,7.918887,9.00646,2.563408,2.808919,3.260556,6.1827,5.968788,8.41878,8.23433,7.7261237,9.62209,4.203018,6.13628,2.258668,5.452049,3.41681,4.071987,1.813938,1.244433,2.545461,0.370657392,1.271742,1.236390799,0.933415,2.257386,2.051143,4.605037,6.45916,6.224182467,1.741902,1.58865,2.402142,1.296008,1.518475,3.258869,3.079709,5.755064,3.45699,3.490375037,5.662064,6.15606,3.294358,3.622746,3.88004
cln3,1.96623,0.988443,1.14569,1.82105,2.41934,2.83411,1.12022,2.04372,1.93973,0.485631,1.53882,2.03461,1.17115,1.8619,4.47549,3.05787,1.76718,2.96914,0.994439,1.545207,1.59112,1.92682,2.38372,2.7095,2.121878,1.54161,1.6463,1.98138,1.72146,1.65134,2.19639,3.658098801,3.5146,1.27667,1.31323,1.12526,0.494604,0.89798,1.34441,0.672455,3.47206,2.05851,1.828264,1.66356,1.72795,2.98994,2.45245,3.93466,1.9911,4.21792,2.79658,0,1.68196,1.53585,0.949442,2.69868,2.22715,1.51916,4.5421,3.86417,0.904705,3.53763,2.67458,2.95466,2.7758,2.37776,2.48917,6.33713,3.882796,1.19118,3.67649,3.71821
clos,1.578,2.56853,2.62027,0.932996,1.18398,0.443738,1.1354,2.11723,1.78681,0.808788,0.941305,0.593471,1.2935,1.14714,1.25585,0.507273,0.92434,0.682032,1.62321,1.98227,1.62941,1.4022,1.38734,0.75511,0.866609,0.535411,1.08468,1.85813,1.62287,2.17456,0.261754,0.803814,1.20915,1.78405,1.99896,1.32051,1.75477,2.05933,1.98473,0.869111,1.24811,0.767841,1.1889,0.647943,0.608653,1.6975,2.01315,2.09375,1.82022,1.24022,1.16546,1.32995,1.77984,1.56654,2.05619,1.93067,1.73671,2.01336,1.19745,1.7015,1.61576,1.15352,1.42247,1.67801,1.369,1.18781,1.61898,1.55536,1.5683,1.86028,1.54395,1.70535
Clp,8.12325,10.2625,11.1978,8.34493,13.135,14.9608,14.9445,16.1204,17.0263,14.3496,11.0341,15.4796,16.2423,13.3383,13.1163,12.6359,19.1422,11.2831,13.6839,5.08009,8.26381,9.65985,11.4083,12.9937,14.5896,19.966,18.2344,7.72297,10.9367,13.7413,8.568,10.5742,11.7381,15.9531,15.7298,17.9019,11.9814,13.3928,10.0269,13.9399,12.1552,11.1531,18.5932,14.9497,16.8214,11.3694,7.18423,13.4883,10.7165,10.6985,7.5622,16.4145,10.841,12.5237,13.6955,14.4832,10.532,13.3181,14.1745,18.66,11.4232,10.4365,12.1711,17.3794,12.9358,14.8672,15.6607,16.0511,15.413,11.0864,9.52521,15.2587
CLS,38.01587,46.95813,41.198657,29.063925,34.483109,38.5646,36.24106,33.471596,33.88642,33.359183,26.58071,36.34602,40.570966,33.39236,31.861096,34.9242,37.97961,28.20168,45.98602,33.294692,40.6726,44.44205,31.705643,30.489956,45.105385,41.954096,41.17963,36.11776,40.22073,39.8809,31.975559,32.45451,32.66748,42.66335,40.8018,37.438892,37.92466,30.7737,32.806623,34.9258,38.73911,37.42139,36.527013,35.639968,36.450456,46.28051,41.9505,38.45807,44.26576,45.91087,41.4974,27.96113,50.66373,42.315518,39.001585,38.385816,41.19471,35.7286,35.249624,35.909216,38.099,35.00655,41.75007,37.13105,30.8016,41.58524,38.636744,38.51476,38.229,39.1985,35.924365,33.95959
clt,28.6747,21.9201,23.9968,17.1578,24.0733,22.5155,21.9296,25.2337,22.0635,24.4873,17.6468,24.2273,23.1808,23.2615,21.2716,20.2573,23.2917,19.9751,21.0695,20.2379,15.6779,21.3246,18.6793,17.0585,15.8233,19.7494,21.7872,20.0037,24.7579,25.2286,17.3079,25.0822,20.0946,28.8031,29.0673,25.5214,21.1254,19.1845,24.5009,22.7787,20.3708,21.1854,19.8372,22.0649,17.9415,24.7118,24.6566,24.1756,22.9027,21.3605,20.5465,22.6182,20.9861,21.3212,26.3017,28.0932,29.8193,24.9861,24.8434,26.4836,24.6744,24.5629,23.3612,21.4013,21.4142,22.9165,32.4544,24.2913,26.6863,21.6324,27.7677,23.3921
clu,38.2779,44.6148,40.513368,22.2238,26.2196,14.1025,32.2225,38.0347,35.6341,24.4782,19.8254,26.2749951,22.9587,22.341828,24.1352,19.0751665,16.283302,15.27818,41.552,40.6777,44.2494,21.7035,21.3642,15.9894,21.9237,11.09984,19.53537,41.7022,34.7922,36.5534,9.45181,12.892,22.8512,36.097,35.2486,33.6127,42.2115,40.3812,40.7384,22.069577,25.7788,19.68080142,22.7819,17.2815,18.54979,33.5256,41.6667,37.1089,33.1744,31.3031,36.7108,23.479854,33.47,33.5461,31.148,29.0363,32.5167,31.5255,31.1637,25.605,31.9147,27.9363,29.6732,24.0207,24.76492,18.937,28.3177,33.0451,30.581263,27.8112,25.48721,28.1912
clumsy,0,0.106136,0.421074,0.835381,1.12857,0.355864,0.239264,0.554908,0.243524,0.352418,0.245719,0.22161,0.192739,0.43232,0.167534,0,0.31301,0,0.170761,0.419675,0.585243,0.718572,0.988223,0.88846,0.471609,0.371483,0.217365,0.339682,0.592599,0.20367,0.712996,1.07373,1.45349,0.697625,0.885942,0.586936,0.141642,0.38621,0.237461,1.15906,2.03949,1.190501,0.639766,0.306572,0.528029,0,0,0.165197,2.09242,1.53459,1.53164,0.209675,0.0779385,0.143923,0.35296,0.28026,0.417972,0.411314,0.619792,0.302076,0.383866,0.402983,0.463208,0,0.125515,0.0442836,0.314168,0.376609,0.22338,0.279728,0.551343,0.551556
cm,62.0264,65.3891,57.9555,46.62596,46.7588,52.97151,55.3168,65.1265,56.3588,57.41796,43.76057,47.1014,49.9288,48.79984,54.79773,43.01009,39.27182,43.18492,67.063,63.6674,64.0351,59.0603,58.54942,49.05574,64.9602,47.743711,53.5944,50.5401,57.6626,58.3624,39.92469,44.23711,47.68765,58.2294,64.081,56.7395,57.1709,68.0171,56.8494,66.1287,55.33269,53.52613,57.93489,52.98939,52.8607,68.7494,50.592,61.5943,58.5733,53.93337,53.01673,58.1874,58.2312,66.7878,57.9797,51.4936,48.9459,51.8264,57.8899,49.6622,56.069,53.1902,52.87126,48.76639,56.0797,45.5413,55.9825,50.0054,55.2839,55.8874,53.1529,52.3473
cmb,17.241621,24.457128,20.970059,11.977974,17.062943,8.900474,21.362106,24.78051,25.43026,16.152,12.539776,14.090464,14.329093,14.62691,13.97439,12.66061292,9.85609,9.15485,22.14039,20.17292,23.517984,13.21867,13.64048,9.304419,11.406033,4.717508,11.997302,21.23139,20.596368,23.22819,5.575874,7.1414,12.65231,26.467385,21.238509,21.863408,22.563301,23.68307,22.03567,12.13011,13.913931,11.04871,13.709947,10.099059,12.4254,17.874807,18.949696,24.02153,15.43336,16.325252,19.7116,15.06102,16.99844,18.16768,19.58879,19.573972,19.15046,18.905501,19.87871,15.869455,19.233667,15.69636,17.083075,11.914687,15.07133,11.524504,17.10645,16.936366,17.286945,15.85581,18.5913,17.310041
cmet,0.0402801,0,0.079208,0,0,0,0.0561375,0,0,0,0,0.03456297,0,0,0,0,0,0,0,0.03945778,0,0.02601398,0,0,0,0.02913643,0,0.0798029,0,0,0,0,0.0759055,0,0,0,0,0,0.055863,0,0,0,0,0,0,0,0.0409977,0,0,0,0.0863078,0,0,0.1007949,0,0,0.02440659,0,0,0.02832359,0,0.03246319,0,0,0.0293565,0,0,0,0,0,0,0
cmpy,146.2364,163.2824,153.5652,148.6745,167.7847,143.99112,161.3221,175.9844,166.1094,152.6292,155.0728,155.487,151.6483,130.71,145.5002,134.8494,140.9825,149.69358,175.0951,172.3467,165.9091,154.5449,188.507,161.1881,155.658,134.3988,139.3605,157.2031,150.6278,160.8393,121.54684,150.84094,151.0685,175.686,173.2659,173.5665,177.7367,159.1814,153.8809,164.2654,163.775,165.5508,140.5134,141.9697,144.0697,153.3201,164.0708,142.1722,189.9478,194.9124,179.4946,160.9016,149.9515,154.7999,160.7207,153.766,163.1219,175.8179,164.0484,155.0932,161.4672,143.1711,148.4063,144.7381,150.7642,133.8992,168.6052,154.2089,152.4242,164.5379,149.2493,157.8512
cn,0.167476,0,0.33315,0.206337,0.131771,0,0.118784,1.12936,0,0,0.163033,0,0,0.431846,0.165403,0,0.128201,0.430654,0.506803,0.166134,0.579151,0.218354,0,0.208869,0.382778,0.244609,0.43064,0.336451,0.731555,0.401341,0,0.531652,0.213181,0.835261,0,0.477796,0.420185,0.190779,0,0.114349,0.378514,0.478934,0.977282,0.706819,0.579873,0,0.177316,0.326865,0.16818,0,0,0.414001,0.472555,0.721318,0.117867,0.335462,0.523182,0.120251,0.561307,0.240372,0.383038,0,0,0.77236,0.375617,0.447896,0,0.451654,0.559201,0.895676,0.491395,0.249441
