ext_gene,HC_29_1,HC_29_2,HC_29_3,HC_TrpA1_21_1,HC_TrpA1_21_2,HC_TrpA1_21_3,HC_TrpA1_29_1,HC_TrpA1_29_2,HC_TrpA1_29_3,MechSD12hr_1,MechSD12hr_2,MechSD12hr_3,MechSD3hr_1,MechSD3hr_2,MechSD3hr_3,MechSD6hr_1,MechSD6hr_2,MechSD6hr_3,R21H11_29_1,R21H11_29_2,R21H11_29_3,R21H11_TrpA1_21_1,R21H11_TrpA1_21_2,R21H11_TrpA1_21_3,R21H11_TrpA1_29_1,R21H11_TrpA1_29_2,R21H11_TrpA1_29_3,R60F09_29_1,R60F09_29_2,R60F09_29_3,R60F09_TrpA1_21_1,R60F09_TrpA1_21_2,R60F09_TrpA1_21_3,R60F09_TrpA1_29_1,R60F09_TrpA1_29_2,R60F09_TrpA1_29_3,R65H02_29_1,R65H02_29_2,R65H02_29_3,R65H02_TrpA1_21_1,R65H02_TrpA1_21_2,R65H02_TrpA1_21_3,R65H02_TrpA1_29_1,R65H02_TrpA1_29_2,R65H02_TrpA1_29_3,R85C10_29_1,R85C10_29_2,R85C10_29_3,R85C10_TrpA1_21_1,R85C10_TrpA1_21_2,R85C10_TrpA1_21_3,R85C10_TrpA1_29_1,R85C10_TrpA1_29_2,R85C10_TrpA1_29_3,ZT_0_1,ZT_0_2,ZT_0_3,ZT_12_1,ZT_12_2,ZT_12_3,ZT_16_1,ZT_16_2,ZT_16_3,ZT_20_1,ZT_20_2,ZT_20_3,ZT_4_1,ZT_4_2,ZT_4_3,ZT_8_1,ZT_8_2,ZT_8_3
CG32113,11.2108,12.9853,11.7619,7.20019,8.29466,4.22805,8.56801,9.62232,10.7357,7.57152,5.08455,7.93803,6.89847,6.64824,6.37152,4.10092,4.2324,3.83363,11.5123,14.2213,12.6813,7.61025,6.90924,4.79887,6.15932,2.79163,4.57141,10.6036,10.1591,10.4797,3.25494,3.95984,7.22606,9.39669,8.45969,8.48523,10.7797,12.4397,12.7308,6.54601,8.09791,5.66782,5.50597,4.33373,4.42759,9.57017,13.6125,12.1716,9.41529,9.51695,10.3564,6.93908,9.09878,8.39373,9.90838,10.3026,9.85158,10.2246,8.40948,7.93698,9.28299,8.15073,8.83775,6.185,7.82822,5.05039,8.81606,10.299,9.21774,10.0671,9.34205,8.54092
CG32115,2.54303,1.22912,1.36547,0.120773,2.16295,0.827321,0.696461,0.734978,1.13248,1.15815,0.765346,0.866446,0.29916,1.01494,0.967889,0.48024,0.902962,1.51721,0.395703,1.55677,0.678355,1.27788,0.286499,0.490042,1.67979,0.858958,0.672775,1.97103,1.02752,0.938757,1.94431,0.249149,0.624333,0.163027,0.783794,0.97947,0.984059,0.893317,0,0.133795,0.738977,1.12152,1.03141,0.472833,0.81469,1.60152,1.25383,0.574226,1.18821,0.426816,1.31978,0,1.30103,2.20654,0.69325,1.4447,0.861469,0.987904,0.790774,2.25637,0.59993,1.91957,0.537599,1.35854,1.47061,0.422924,0.848244,1.94641,1.44692,0.789868,1.15643,1.46099
CG32117,0,0,0,0,0,0,0,0,0,0,0,0,0.356008,0,0.452717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301483,0,0,0,0,0,0,0,0,0,0.78443,0,0,0,0,0
CG32119,0,0.631775,0.167106,0,0.39658,0.118012,0,0.125884,0.121152,0.282514,0,0.295946,0,0,0.497783,0,0.128615,0,0,0.166664,0,0.219048,0.122676,0.628624,0.0959982,0.122693,0.288011,0.337526,0,0.40261,0.128248,0.21334,0.106931,0.279307,0.223479,1.43796,0,0.191385,0.235371,0.114712,0.632869,0.480458,0,0.101295,0.116344,0,0.177902,0,0.337466,0,0.18726,0,0,0,0,0.112183,0,0,0.112624,0.120573,0,0,0.153431,0.25828,0.376834,0.0898776,0.0903775,0,0.448822,0.112325,0.123251,0
CG32121,0.305568,0,0.100704,0.0624217,0.476642,0,0.0715845,0.0758047,0,0.337803,0.588402,0.176999,0.0768846,0.0647498,0.100134,0.244699,0.385364,0.258674,0.102104,0.30115,0.34996,0.528631,0.517102,0.251536,0.231777,0.444104,0.26001,0.609474,0.442769,0.121683,0.15493,0.128431,0.450707,0.0841543,0.134199,0.577291,0.0846852,0.115433,0.141951,0.138533,0.457357,0.289652,0.235581,0.427622,0.210446,0.117673,0.105647,0,0.301197,0.108271,0.222408,0.12532,0.187197,0.43141,0.423155,0.268565,0.501053,0.216993,0.202425,0.578618,0.306563,0.082562,0.646425,0,0.225523,0.372334,0.322952,0.180516,0.468615,0.134112,0.146912,0.452076
CG3213,0,0,0.12123,0.0751255,0,0,0,0,0,0,0,0.106787,0,0.0781408,0,0.0984698,0,0,0,0,0.140451,0.0795188,0.0889495,0.151591,0.0697201,0.712596,0.208754,0,0,0,0.465938,0.231987,0.07753,0,0.161729,0,0,0,0,0,0,0,0.0709693,0,0.422166,0,0.255512,0,0,0,0,0,0,0,0,0,0.0756308,0.0872109,0.0813747,0,0,0,0,0,0,0,0.0650321,0,0,0,0,0
CG32137,18.77027,18.18742,17.38583,17.06835,13.40995,12.03065,16.11364,15.49644,17.96311,13.77984,10.281574,16.657,15.22239,18.09304,14.59802,10.69555,11.16477,11.76775,16.52825,17.72877,16.86487,12.83829,9.41196,6.63848446,9.99365,6.62283,12.06672,15.24417,15.57664,17.25027,6.93513,6.58857,9.1517,12.67418,15.348422,15.0395,14.60222,17.18269,17.07532,13.56048,12.055375,10.28862,12.14515,13.94537,10.07004,18.59392,17.1496,13.638,12.00418,14.913287,13.08939,13.68832,14.33204,15.18299,15.63217,17.74918,16.3191,16.52016,16.60365,16.66718,15.66315,15.7832,17.91199,12.85868,17.26051,11.80146,15.56986,16.32243,18.43273,16.58638,17.16724,14.34072
CG32138,32.030446,32.56002,30.596709,23.959117,29.24465,19.439892,31.262671,35.38859,34.828593,21.781213,18.108899,25.17451,20.626741,21.339727,20.978014,16.992702,16.985953,14.774861,36.437253,36.22994,39.71539,29.578277,26.62987,21.26082,28.287877,13.954353,27.163044,38.06221,33.17312,35.284583,14.197019,15.210885,27.589446,37.108048,36.88465,40.25587,37.42063,32.492448,37.808845,25.031772,32.49899,24.41307,30.195804,24.025854,25.322506,32.35449,38.141679,36.759139,34.397479,34.134047,39.16805,33.41009,39.13905,45.674909,24.54923,24.19194,26.394125,25.744443,29.94951,28.27481,26.5867,24.29755,28.327111,19.942899,20.18706,17.129743,26.477347,28.44434,28.0767,27.373351,28.18657,29.224945
CG32141,0,0,0,0,0,0,0.270829,0.283876,0.27456,0,0,0,0.290736,0.750135,0.371682,0,0,0.496139,0.763201,0.375616,0,0,0,0,0,0,0.325328,0,0.329009,0,0,0,0.482421,0.314244,0.25419,0.270225,0.316004,0.429403,0.528291,0,0,0,0,0,0,0,0,0,0.395315,0,0,0,0.376,0,0,0,0.243907,0,0,0,1.17955,0,0.693158,0,0.866735,1.07268,0,0,0,0,0,0
CG32147,30.504,32.7785,25.262,24.4568,26.1809,28.423,32.588,29.039,30.8403,30.4013,27.7476,23.9435,32.3661,24.829,27.9556,32.0671,27.4764,33.3405,30.2332,23.732,29.3168,33.9799,27.1929,29.6935,38.7937,40.2844,37.1948,27.905,33.9847,31.0432,22.1208,30.1864,33.3832,29.3088,30.5923,27.3715,28.5221,32.728,28.6065,28.0372,27.7624,34.1075,29.9458,30.5561,33.5472,36.9635,18.1055,35.9104,25.3783,26.036,25.7064,32.6514,39.9826,47.3381,24.8321,25.1016,24.4649,24.6219,24.3396,25.3949,26.0278,25.9846,36.1486,21.1885,24.3412,30.3462,28.1744,28.0089,25.3655,26.6464,21.3317,32.251
